# 游戏内置拼音输入法词典（由 tools/gen_pinyin_dict.py 从 Unicode Unihan 生成）
# 行格式：@<拼音>	<词>  或  $<拼音>	<字…>。拼音小写无声调，ü→v。
@anquan	安全
@baogan	包干
@boss	boss
@buguo	不过
@bukeqi	不客气
@chongzhi	充值
@daguai	打怪
@daoju	道具
@dengdai	等待
@dian	点
@didi	弟弟
@dong	懂
@duibuqi	对不起
@duiwu	队伍
@fangju	防具
@fangyu	防御
@fuben	副本
@fuhuo	复活
@gege	哥哥
@gonghui	公会
@gonghui2	公会
@gongji	攻击
@haode	好的
@haodea	好的啊
@jiaoyi	交易
@jiaru	加入
@jiejie	姐姐
@jinbi	金币
@jingyan	经验
@jintian	今天
@keyi	可以
@laogong	老公
@laopo	老婆
@laoshi	老师
@liaotian	聊天
@mashang	马上
@meiguanxi	没关系
@meimei	妹妹
@meiwen	没问
@meiwenti	没问题
@mingbai	明白
@mingtian	明天
@mofa	魔法
@ni	你
@nihao	你好
@nihao ma	你好吗
@nihaoa	你好啊
@nimen	你们
@pengyou	朋友
@qing	请
@renwu	任务
@shangdian	商店
@shaodeng	稍等
@shengji	升级
@shengming	生命
@shime	什么
@shuid	谁的
@shuohua	说话
@siwang	死亡
@ta	他
@tamen	他们
@tongzhi	同志
@tuandui	团队
@wanan	晚安
@weisheme	为什么
@wo	我
@wohenhao	我很好
@women	我们
@wuqi	武器
@xianzai	现在
@xiexie	谢谢
@xiexieni	谢谢你
@yihou	以后
@yikuai	一块
@yiqi	一起
@yiqi2	一齐
@yiqian	以前
@yuanbao	元宝
@zaijian	再见
@zaizhen	再会
@zao	早
@zenme	怎么
@zenmeyang	怎么样
@zhidao	知道
@zhuangbei	装备
@zudui	组队
@zuotian	昨天
$a	啊呵阿吖錒锕𠼞𥥩𨉚𱚱
$ai	愛爱哎挨碍礙哀矮癌埃蔼藹隘㗒䅬䔽僾凒叆唉啀嗌嗳噯壒娭娾嫒嬡懓捱敳昹暧曖欸毐溰溾濭瑷璦皑皚瞹砹硋艾薆譪譺鎄鑀锿閡霭靄靉餲馤騃鴱㕌㘷㝶㢊㤅㦈㱯㶼㾢㿄䀳䑂䝽䠹䨠䶣伌嘊塧懝敱皧躷銰鱫𠊎𠳳𡁍𡉓𡟓𡰽𡶃𢟪𢟰𢣏𢣕𢰇𣉼𣋞𣜬𣝅𣤃𣩱𤢵𤸖𤸳𤻢𥡽𥤦𥴨𦗍𦗐𦥂𦥈𦩴𧏹𧓁𧡋𧪚𧰿𧵨𨶂𩈋𩪂𩫇𩮖𪇈𪕭𫂖𫉁𫘤𫣊𬤩𬺃𭏦𭞄𮩝𰛥𰾭𱉪
